2022-11-22\ICS-1412\logs\icsLog.txt:[ICS] [11/22/22 08:17:04] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 48. 	Mean DeltaTime = 125066. 	Threshold = 50. 	Count = 2. 	TimeStamp(hh:mm:ss) = 0:4:44.897323
2022-11-22\ICS-1412\logs\icsLog.txt:[ICS] [11/22/22 08:22:46] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 48. 	Mean DeltaTime = 289260. 	Threshold = 50. 	Count = 2. 	TimeStamp(hh:mm:ss) = 0:10:26.967689
2022-11-22\ICS-1412\logs\icsLog.txt:[ICS] [11/22/22 13:17:43] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 13110. 	Threshold = 50. 	Count = 1340. 	TimeStamp(hh:mm:ss) = 5:5:24.070818
2022-11-23\ICS-1412\logs\icsLog.txt:[ICS] [11/23/22 08:19:36] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 305953. 	Threshold = 50. 	Count = 2. 	TimeStamp(hh:mm:ss) = 0:11:1.509561
2022-11-23\ICS-1412\logs\icsLog.txt:[ICS] [11/23/22 08:23:09] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 48. 	Mean DeltaTime = 408001. 	Threshold = 50. 	Count = 2. 	TimeStamp(hh:mm:ss) = 0:14:34.107999
2022-11-23\ICS-1412\logs\icsLog.txt:[ICS] [11/23/22 09:16:44] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 1300963. 	Threshold = 50. 	Count = 3. 	TimeStamp(hh:mm:ss) = 1:8:9.616594
2022-11-23\ICS-1412\logs\icsLog.txt:[ICS] [11/23/22 09:31:35] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 951589. 	Threshold = 50. 	Count = 5. 	TimeStamp(hh:mm:ss) = 1:23:0.302592
2022-11-23\ICS-1412\logs\icsLog.txt:[ICS] [11/23/22 09:36:44] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 37720. 	Threshold = 50. 	Count = 134. 	TimeStamp(hh:mm:ss) = 1:28:9.233706
2022-11-23\ICS-1412\logs\icsLog.txt:[ICS] [11/23/22 09:49:30] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 11092. 	Threshold = 50. 	Count = 522. 	TimeStamp(hh:mm:ss) = 1:40:55.794199
2022-11-23\ICS-1412\logs\icsLog.txt:[ICS] [11/23/22 09:53:43] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 45024. 	Threshold = 50. 	Count = 134. 	TimeStamp(hh:mm:ss) = 1:45:8.707201
2022-11-23\ICS-1412\logs\icsLog.txt:[ICS] [11/23/22 10:12:23] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 1698. 	Threshold = 50. 	Count = 134. 	TimeStamp(hh:mm:ss) = 0:4:20.990756
