2021-10-26\ICS-1380\logs\icsLog.txt:[ICS] [10/26/21 08:26:08] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 187717. 	Threshold = 50. 	Count = 36. 	TimeStamp(hh:mm:ss) = 1:53:1.102040
2022-02-22\ICS-1380\logs\icsLog.txt:[ICS] [02/22/22 13:52:09] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 45. 	Mean DeltaTime = 427176. 	Threshold = 50. 	Count = 38. 	TimeStamp(hh:mm:ss) = 4:30:57.120665
2022-03-07\ICS-1380\logs\icsLog.txt:[ICS] [03/07/22 19:44:48] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 221. 	Threshold = 50. 	Count = 221136. 	TimeStamp(hh:mm:ss) = 13:37:22.268475
2022-03-16\ICS-1380\logs\icsLog.txt:[ICS] [03/16/22 11:22:45] (I) Signal DBGO, 	Rising front 	Current DeltaTime = 94. 	Mean DeltaTime = 15509. 	Threshold = 200. 	Count = 1191. 	TimeStamp(hh:mm:ss) = 5:8:16.804296
2022-03-16\ICS-1380\logs\icsLog.txt:[ICS] [03/16/22 15:01:31] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 7. 	Mean DeltaTime = 36404. 	Threshold = 50. 	Count = 868. 	TimeStamp(hh:mm:ss) = 8:47:5.080798
2022-06-04\ICS-1380\logs\icsLog.txt:[ICS] [06/04/22 07:08:03] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 40. 	Mean DeltaTime = 1323660. 	Threshold = 50. 	Count = 3. 	TimeStamp(hh:mm:ss) = 1:6:34.652093
2022-06-04\ICS-1380\logs\icsLog.txt:[ICS] [06/04/22 08:34:40] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 48. 	Mean DeltaTime = 12893. 	Threshold = 50. 	Count = 711. 	TimeStamp(hh:mm:ss) = 2:33:12.012953
2022-06-06\ICS-1380\logs\icsLog.txt:[ICS] [06/06/22 07:05:57] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 48. 	Mean DeltaTime = 12146. 	Threshold = 50. 	Count = 111. 	TimeStamp(hh:mm:ss) = 0:22:51.784491
2022-06-06\ICS-1380\logs\icsLog.txt:[ICS] [06/06/22 14:10:25] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 48. 	Mean DeltaTime = 250629. 	Threshold = 50. 	Count = 107. 	TimeStamp(hh:mm:ss) = 7:27:21.489934
2022-06-06\ICS-1380\logs\icsLog.txt:[ICS] [06/06/22 14:22:03] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 48. 	Mean DeltaTime = 63841. 	Threshold = 50. 	Count = 431. 	TimeStamp(hh:mm:ss) = 7:38:59.942832
2022-06-07\ICS-1380\logs\icsLog.txt:[ICS] [06/07/22 06:48:53] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 47. 	Mean DeltaTime = 3053. 	Threshold = 50. 	Count = 559. 	TimeStamp(hh:mm:ss) = 0:28:50.115051
2022-06-08\ICS-1380\logs\icsLog.txt:[ICS] [06/08/22 14:58:52] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 47. 	Mean DeltaTime = 1743. 	Threshold = 50. 	Count = 2923. 	TimeStamp(hh:mm:ss) = 1:25:18.265215
2022-06-10\ICS-1380\logs\icsLog.txt:[ICS] [06/10/22 10:29:20] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 47. 	Mean DeltaTime = 17585. 	Threshold = 50. 	Count = 115. 	TimeStamp(hh:mm:ss) = 0:34:6.048781
2022-06-14\ICS-1380\logs\icsLog.txt:[ICS] [06/14/22 06:39:48] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 40. 	Mean DeltaTime = 789644. 	Threshold = 50. 	Count = 3. 	TimeStamp(hh:mm:ss) = 0:39:52.598862
2022-06-15\ICS-1380\logs\icsLog.txt:[ICS] [06/15/22 06:09:20] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 41. 	Mean DeltaTime = 96365. 	Threshold = 50. 	Count = 3. 	TimeStamp(hh:mm:ss) = 0:5:12.958808
2022-10-04\ICS-1380\logs\icsLog.txt:[ICS] [10/04/22 20:53:09] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 162. 	Threshold = 50. 	Count = 325349. 	TimeStamp(hh:mm:ss) = 14:43:47.813531
2022-10-05\ICS-1380\logs\icsLog.txt:[ICS] [10/05/22 14:15:15] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 266. 	Threshold = 50. 	Count = 110957. 	TimeStamp(hh:mm:ss) = 8:13:53.122695
2022-10-11\ICS-1380\logs\icsLog.txt:[ICS] [10/11/22 13:33:52] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 161. 	Threshold = 50. 	Count = 163234. 	TimeStamp(hh:mm:ss) = 7:19:42.244187
2022-11-07\ICS-1377_F\logs\icsLog.txt:[ICS] [11/07/22 13:24:09] (I) Signal DP2W, 	Rising front 	Current DeltaTime = 29. 	Mean DeltaTime = 1250. 	Threshold = 200. 	Count = 20215. 	TimeStamp(hh:mm:ss) = 7:1:43.511303
2022-12-09\ICS-1380\logs\icsLog.txt:[ICS] [12/09/22 21:33:00] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 3395. 	Threshold = 50. 	Count = 13158. 	TimeStamp(hh:mm:ss) = 12:24:54.179229
